Sim,Salle_2031,durée salle_min,Intercas(min),H_debut_salle(min),H_fin_salle(min),Nb/chariot,Arrivee_MC
1,111,20,15,480,500,1,515
1,210,28,15,480,508,2,523
1,207,31,15,480,511,1,526
1,209,35,15,480,515,2,530
1,108,36,15,480,516,1,531
1,208,43,15,480,523,1,538
1,203,55,15,480,535,1,550
1,204,65,15,480,545,1,560
1,109,72,15,480,552,1,567
1,113,75,15,480,555,1,570
1,202,80,15,480,560,1,575
1,112,85,15,480,565,1,580
1,115,91,15,480,571,2,586
1,111,60,15,515,575,1,590
1,114,104,15,480,584,1,599
1,209,56,15,530,586,2,601
1,205,112,15,480,592,2,607
1,211,117,15,480,597,2,612
1,106,117,15,480,597,2,612
1,101,122,15,480,602,2,617
1,210,80,15,523,603,2,618
1,103,130,15,480,610,2,625
1,105,130,15,480,610,2,625
1,212,130,15,480,610,1,625
1,213,135,15,480,615,1,630
1,107,139,15,480,619,2,634
1,203,74,15,550,624,1,639
1,202,55,15,575,630,1,645
1,204,70,15,560,630,1,645
1,102,150,15,480,630,2,645
1,109,75,15,567,642,1,657
1,106,40,15,612,652,2,667
1,209,55,15,601,656,2,671
1,114,60,15,599,659,1,674
1,108,138,15,531,669,1,684
1,110,195,15,480,675,2,690
1,203,55,15,639,694,1,709
1,112,115,15,580,695,1,710
1,201,218,15,480,698,1,713
1,113,128,15,570,698,1,713
1,212,80,15,625,705,1,720
1,106,47,15,667,714,2,729
1,211,108,15,612,720,2,735
1,108,37,15,684,721,1,736
1,202,80,15,645,725,1,740
1,210,107,15,618,725,2,740
1,101,110,15,617,727,2,742
1,104,250,15,480,730,2,745
1,115,150,15,586,736,2,751
1,201,35,15,713,748,1,763
1,107,123,15,634,757,2,772
1,213,130,15,630,760,1,775
1,212,40,15,720,760,1,775
1,203,54,15,709,763,1,778
1,208,230,15,538,768,1,783
1,205,161,15,607,768,2,783
1,113,57,15,713,770,1,785
1,209,100,15,671,771,2,786
1,103,150,15,625,775,2,790
1,211,40,15,735,775,2,790
1,112,75,15,710,785,1,800
1,108,55,15,736,791,1,806
1,207,266,15,526,792,1,807
1,106,96,15,729,825,2,840
1,201,62,15,763,825,1,840
1,206,346,15,480,826,1,841
1,208,45,15,783,828,1,843
1,202,90,15,740,830,1,845
1,204,190,15,645,835,1,850
1,115,85,15,751,836,2,851
1,112,45,15,800,845,1,860
1,109,205,15,657,862,1,877
1,113,85,15,785,870,1,885
1,208,28,15,843,871,1,886
1,213,100,15,775,875,1,890
1,207,68,15,807,875,1,890
1,115,31,15,851,882,2,897
1,104,140,15,745,885,2,900
1,102,240,15,645,885,2,900
1,211,95,15,790,885,2,900
1,105,260,15,625,885,2,900
1,110,195,15,690,885,2,900
1,212,115,15,775,890,1,905
1,103,110,15,790,900,2,915
1,114,226,15,674,900,1,915
1,107,128,15,772,900,2,915
1,101,158,15,742,900,2,915
1,111,310,15,590,900,1,915
1,205,117,15,783,900,2,915
1,210,175,15,740,915,2,930
1,204,65,15,850,915,1,930
1,109,38,15,877,915,1,930
1,201,75,15,840,915,1,930
1,209,144,15,786,930,2,945
1,202,85,15,845,930,1,945
1,115,33,15,897,930,2,945
1,108,124,15,806,930,1,945
1,208,44,15,886,930,1,945
1,106,90,15,840,930,2,945
1,212,25,15,905,930,1,945
1,112,70,15,860,930,1,945
1,211,30,15,900,930,2,945
1,113,45,15,885,930,1,945
1,203,153,15,778,931,1,946
